Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Passed
S00001,12.50,,75.00,Yes
S00002,9.30,95.30,60.60,No
S00003,13.20,,64.00,No
S00004,17.60,76.80,62.40,No
S00005,8.80,89.30,72.70,No
S00006,8.80,73.80,69.30,Yes
S00007,17.90,38.60,93.60,Yes
S00008,13.80,95.80,59.20,No
S00009,7.70,100.10,91.90,Yes
S00010,12.70,38.40,37.80,nan
S00011,7.70,54.10,72.30,No
S00012,7.70,115.50,41.20,No
S00013,11.20,79.60,49.60,nan
S00014,0.40,75.10,50.40,Yes
S00015,1.40,66.50,49.20,Yes
S00016,7.20,54.40,55.90,No
S00017,4.90,71.10,98.00,No
S00018,11.60,94.50,51.80,Yes
S00019,5.50,74.70,40.80,No
S00020,2.90,87.20,72.40,Yes
S00021,17.30,110.30,68.60,Yes
S00022,8.90,63.40,98.20,No
S00023,10.30,81.10,64.40,No
S00024,2.90,95.10,30.70,Yes
S00025,7.30,56.30,58.60,Yes
S00026,10.60,,58.30,Yes
S00027,4.20,112.40,46.50,Yes
S00028,11.90,68.20,56.60,No
S00029,7.00,96.40,62.80,No
S00030,8.50,72.20,64.10,Yes
S00031,7.00,111.00,44.30,Yes
S00032,19.30,42.10,74.10,Yes
S00033,9.90,76.30,89.50,No
S00034,4.70,45.40,69.20,Yes
S00035,14.10,61.00,81.60,Yes
S00036,3.90,60.90,67.70,No
S00037,11.00,69.70,49.30,Yes
S00038,0.20,51.20,69.10,Yes
S00039,3.40,73.60,57.50,Yes
S00040,11.00,84.20,48.40,Yes
S00041,,44.40,63.80,Yes
S00042,10.90,62.30,77.30,Yes
S00043,9.40,125.80,59.90,No
S00044,8.50,81.60,94.10,No
S00045,2.60,38.60,79.30,Yes
S00046,6.40,47.00,56.80,No
S00047,7.70,79.50,56.30,No
S00048,15.30,77.00,97.20,Yes
S00049,11.70,63.30,60.00,No
S00050,1.20,118.90,70.50,Yes
S00051,11.60,127.40,71.30,Yes
S00052,8.10,69.70,39.10,No
S00053,6.60,92.50,39.30,Yes
S00054,13.10,93.50,,Yes
S00055,15.20,96.10,49.30,nan
S00056,14.70,62.20,65.20,Yes
S00057,5.80,113.80,42.30,Yes
S00058,8.50,73.60,60.10,No
S00059,11.70,83.40,68.20,Yes
S00060,14.90,75.00,34.10,No
S00061,7.60,72.20,65.80,Yes
S00062,9.10,80.60,66.60,No
S00063,4.50,51.30,58.00,Yes
S00064,4.00,35.60,48.50,Yes
S00065,14.10,70.70,59.40,No
S00066,16.80,57.40,59.40,Yes
S00067,9.60,86.00,93.90,No
S00068,15.00,83.70,63.20,Yes
S00069,11.80,75.30,58.00,No
S00070,6.80,104.60,63.20,No
